borrower_id,age,monthly_income,employment_type,credit_score,dti_ratio,loan_amount,loan_purpose,city,previous_default,risk_score,risk_tier,is_default
BOR00001,61,62840.63,Salaried,667,0.52,527539.11,Vehicle,Pune,0,34,MEDIUM,1
BOR00002,35,67767.92,Salaried,817,0.62,868063.65,Personal,Bengaluru,0,30,MEDIUM,0
BOR00003,42,43604.83,Salaried,658,0.61,238596.93,Education,Pune,0,42,MEDIUM,1
BOR00004,39,107969.75,Business Owner,749,0.74,139357.55,Vehicle,Surat,0,22,MEDIUM,0
BOR00005,43,38764.6,Self-Employed,728,0.56,1237805.46,Vehicle,Surat,1,47,HIGH,1
BOR00006,41,38882.17,Salaried,638,0.1,1619839.31,Personal,Mumbai,0,12,LOW,0
BOR00007,62,55325.05,Government Employee,507,0.43,322279.12,Medical,Surat,0,40,MEDIUM,0
BOR00008,29,20692.8,Government Employee,629,0.6,1729150.67,Vehicle,Ahmedabad,1,69,HIGH,0
BOR00009,54,29542.48,Business Owner,708,0.59,1379335.22,Business,Delhi,0,32,MEDIUM,1
BOR00010,37,31131.89,Self-Employed,552,0.16,1691255.23,Business,Jaipur,0,30,MEDIUM,0
BOR00011,52,102009.82,Salaried,659,0.09,1763507.66,Education,Ahmedabad,0,12,LOW,0
BOR00012,55,50704.2,Self-Employed,551,0.42,1896354.93,Vehicle,Mumbai,0,48,HIGH,0
BOR00013,46,37339.56,Business Owner,689,0.09,930397.98,Vehicle,Pune,0,20,LOW,1
BOR00014,61,27570.54,Salaried,713,0.41,1815569.03,Education,Mumbai,1,45,MEDIUM,0
BOR00015,36,36303.91,Government Employee,653,0.3,233935.3,Medical,Jaipur,0,12,LOW,0
BOR00016,42,36284.53,Salaried,846,0.35,420907.37,Personal,Mumbai,0,0,LOW,0
BOR00017,56,48691.09,Salaried,584,0.17,1680253.79,Home,Mumbai,0,38,MEDIUM,1
BOR00018,21,73959.47,Government Employee,570,0.51,606236.0,Medical,Mumbai,0,60,HIGH,0
BOR00019,55,54417.0,Salaried,503,0.69,147777.56,Personal,Ahmedabad,0,52,HIGH,0
BOR00020,25,25232.98,Salaried,697,0.46,283778.9,Business,Ahmedabad,1,65,HIGH,0
BOR00021,41,70914.72,Business Owner,695,0.52,515437.61,Personal,Delhi,0,34,MEDIUM,1
BOR00022,60,46266.61,Salaried,652,0.7,465650.91,Education,Delhi,0,42,MEDIUM,0
BOR00023,40,23405.8,Salaried,615,0.13,1880913.51,Vehicle,Mumbai,1,47,HIGH,1
BOR00024,42,38936.24,Self-Employed,775,0.49,1002637.11,Home,Ahmedabad,0,18,LOW,0
BOR00025,37,58209.81,Self-Employed,521,0.13,1426051.52,Business,Pune,0,38,MEDIUM,0
BOR00026,30,57644.03,Government Employee,645,0.2,651103.78,Home,Delhi,0,12,LOW,0
BOR00027,30,34945.29,Self-Employed,735,0.57,1768761.6,Home,Jaipur,0,22,MEDIUM,0
BOR00028,65,82084.11,Salaried,763,0.62,1724256.84,Vehicle,Delhi,0,22,MEDIUM,0
BOR00029,63,32221.57,Self-Employed,652,0.3,593275.97,Home,Bengaluru,1,37,MEDIUM,0
BOR00030,22,57851.33,Salaried,767,0.13,1182149.98,Education,Bengaluru,0,0,LOW,0
