borrower_id,age,monthly_income,employment_type,years_employed,education,credit_score,existing_loans,loan_amount,loan_purpose,loan_tenure_months,dti_ratio,marital_status,dependents,city,previous_default,application_date,is_default
BOR00001,61,62840.63,Salaried,12.7,High School,667,2,527539.11,Vehicle,24,0.52,Divorced,0,Pune,0,2025-08-12,1
BOR00002,35,67767.92,Salaried,12.7,Graduate,817,4,868063.65,Personal,60,0.62,Single,1,Bengaluru,0,2025-03-18,0
BOR00003,42,43604.83,Salaried,3.7,High School,658,3,238596.93,Education,60,0.61,Divorced,3,Pune,0,2024-12-11,1
BOR00004,39,107969.75,Business Owner,8.3,Graduate,749,0,139357.55,Vehicle,60,0.74,Single,0,Surat,0,2025-04-27,0
BOR00005,43,38764.6,Self-Employed,8.1,Post Graduate,728,0,1237805.46,Vehicle,240,0.56,Single,3,Surat,1,2025-04-14,1
BOR00006,41,38882.17,Salaried,19.7,Graduate,638,0,1619839.31,Personal,60,0.1,Divorced,2,Mumbai,0,2025-12-28,0
BOR00007,62,55325.05,Government Employee,26.9,Graduate,507,2,322279.12,Medical,240,0.43,Divorced,4,Surat,0,2025-12-26,0
BOR00008,29,20692.8,Government Employee,11.5,High School,629,0,1729150.67,Vehicle,36,0.6,Married,4,Ahmedabad,1,2025-01-03,0
BOR00009,54,29542.48,Business Owner,13.0,High School,708,0,1379335.22,Business,60,0.59,Married,0,Delhi,0,2026-02-03,1
BOR00010,37,31131.89,Self-Employed,27.7,High School,552,2,1691255.23,Business,48,0.16,Single,4,Jaipur,0,2025-08-22,0
BOR00011,52,102009.82,Salaried,22.0,High School,659,2,1763507.66,Education,48,0.09,Divorced,0,Ahmedabad,0,2025-07-23,0
BOR00012,55,50704.2,Self-Employed,27.9,Graduate,551,3,1896354.93,Vehicle,60,0.42,Divorced,3,Mumbai,0,2024-11-03,0
BOR00013,46,37339.56,Business Owner,6.9,Doctorate,689,4,930397.98,Vehicle,48,0.09,Single,4,Pune,0,2025-02-11,1
BOR00014,61,27570.54,Salaried,16.2,Graduate,713,0,1815569.03,Education,24,0.41,Married,3,Mumbai,1,2025-11-03,0
BOR00015,36,36303.91,Government Employee,21.9,Doctorate,653,1,233935.3,Medical,120,0.3,Married,3,Jaipur,0,2025-03-30,0
BOR00016,42,36284.53,Salaried,26.2,Graduate,846,1,420907.37,Personal,36,0.35,Married,3,Mumbai,0,2026-03-10,0
BOR00017,56,48691.09,Salaried,25.9,High School,584,4,1680253.79,Home,48,0.17,Married,3,Mumbai,0,2024-07-03,1
BOR00018,21,73959.47,Government Employee,8.9,Post Graduate,570,3,606236.0,Medical,240,0.51,Married,1,Mumbai,0,2026-03-22,0
BOR00019,55,54417.0,Salaried,28.8,Post Graduate,503,0,147777.56,Personal,240,0.69,Divorced,1,Ahmedabad,0,2025-08-29,0
BOR00020,25,25232.98,Salaried,12.6,Graduate,697,3,283778.9,Business,48,0.46,Single,4,Ahmedabad,1,2025-12-02,0
BOR00021,41,70914.72,Business Owner,27.9,Graduate,695,2,515437.61,Personal,36,0.52,Married,3,Delhi,0,2026-01-19,1
BOR00022,60,46266.61,Salaried,8.5,High School,652,4,465650.91,Education,36,0.7,Single,1,Delhi,0,2025-04-11,0
BOR00023,40,23405.8,Salaried,8.2,Post Graduate,615,0,1880913.51,Vehicle,60,0.13,Single,4,Mumbai,1,2026-04-14,1
BOR00024,42,38936.24,Self-Employed,10.0,Post Graduate,775,4,1002637.11,Home,24,0.49,Married,0,Ahmedabad,0,2024-09-15,0
BOR00025,37,58209.81,Self-Employed,1.1,Doctorate,521,4,1426051.52,Business,12,0.13,Divorced,1,Pune,0,2026-03-10,0
BOR00026,30,57644.03,Government Employee,23.4,Graduate,645,0,651103.78,Home,84,0.2,Single,0,Delhi,0,2024-11-25,0
BOR00027,30,34945.29,Self-Employed,20.1,Graduate,735,1,1768761.6,Home,36,0.57,Married,3,Jaipur,0,2026-01-13,0
BOR00028,65,82084.11,Salaried,24.6,Doctorate,763,0,1724256.84,Vehicle,48,0.62,Married,2,Delhi,0,2025-10-05,0
BOR00029,63,32221.57,Self-Employed,29.4,Doctorate,652,2,593275.97,Home,60,0.3,Divorced,3,Bengaluru,1,2025-03-03,0
BOR00030,22,57851.33,Salaried,23.6,Post Graduate,767,1,1182149.98,Education,12,0.13,Married,2,Bengaluru,0,2026-04-10,0
BOR00031,53,38577.05,Salaried,12.9,Doctorate,663,4,420653.61,Home,120,0.05,Divorced,1,Delhi,0,2025-06-21,0
BOR00032,63,28193.1,Salaried,5.8,Post Graduate,572,4,653105.09,Personal,84,0.33,Married,4,Mumbai,0,2024-08-27,0
BOR00033,32,73589.89,Business Owner,9.7,Doctorate,802,4,1675764.08,Education,60,0.2,Divorced,4,Bengaluru,0,2025-06-26,0
BOR00034,34,47287.2,Government Employee,24.2,Graduate,770,0,603383.49,Medical,84,0.12,Single,2,Mumbai,0,2024-09-01,0
BOR00035,36,58736.58,Government Employee,7.3,High School,621,3,858159.97,Medical,48,0.55,Married,3,Surat,0,2024-10-05,0
BOR00036,27,58729.52,Government Employee,3.6,Graduate,818,1,1618014.22,Medical,240,0.38,Divorced,1,Jaipur,0,2026-05-19,0
BOR00037,63,48150.51,Business Owner,22.3,Doctorate,820,4,1639262.69,Business,120,0.63,Divorced,3,Mumbai,0,2025-08-07,0
BOR00038,36,15000.0,Business Owner,2.4,Doctorate,753,1,585465.02,Home,60,0.21,Married,2,Pune,0,2024-12-21,0
BOR00039,65,51201.47,Self-Employed,12.6,Graduate,653,0,858992.4,Education,240,0.38,Single,1,Jaipur,1,2024-08-30,0
BOR00040,22,51322.29,Government Employee,22.0,Doctorate,501,0,1888346.23,Education,120,0.65,Married,4,Bengaluru,1,2026-06-13,0
BOR00041,52,43921.71,Self-Employed,14.0,Post Graduate,712,3,997001.89,Personal,84,0.52,Married,1,Jaipur,0,2024-09-10,0
BOR00042,55,102636.31,Salaried,1.5,Doctorate,633,4,1150564.37,Home,24,0.5,Single,3,Mumbai,0,2025-12-16,0
BOR00043,50,32720.37,Business Owner,16.2,Post Graduate,634,3,592600.4,Personal,60,0.63,Married,0,Bengaluru,0,2026-02-20,0
BOR00044,25,77474.26,Salaried,28.4,High School,709,1,438753.33,Home,36,0.22,Married,0,Pune,0,2025-04-17,0
BOR00045,44,37613.56,Self-Employed,28.2,High School,726,1,1931205.51,Home,12,0.7,Divorced,3,Surat,0,2025-08-13,1
BOR00046,65,51458.9,Self-Employed,16.0,High School,767,2,1708071.82,Business,24,0.61,Divorced,0,Delhi,0,2025-10-09,1
BOR00047,62,34508.93,Business Owner,4.6,High School,650,3,1653545.29,Home,120,0.72,Divorced,3,Bengaluru,0,2025-06-12,0
BOR00048,62,40293.52,Business Owner,26.4,Doctorate,548,3,899370.26,Medical,60,0.28,Single,0,Delhi,0,2026-01-24,0
BOR00049,57,56843.67,Government Employee,8.4,Post Graduate,703,0,1013897.68,Education,36,0.39,Married,2,Delhi,1,2026-02-24,0
BOR00050,38,49146.29,Salaried,21.4,Graduate,658,0,520644.3,Personal,180,0.44,Single,3,Bengaluru,0,2025-10-22,0
BOR00051,26,24156.64,Business Owner,29.9,Graduate,642,3,1398984.95,Education,84,0.38,Divorced,2,Surat,1,2026-06-14,0
BOR00052,65,41301.03,Government Employee,20.7,Post Graduate,607,2,540237.17,Home,48,0.27,Divorced,4,Jaipur,0,2026-06-19,0
BOR00053,51,45222.82,Business Owner,16.0,Post Graduate,716,0,1673625.31,Education,48,0.3,Married,0,Bengaluru,0,2026-03-12,0
BOR00054,24,125881.08,Business Owner,29.0,Graduate,695,3,250045.91,Home,60,0.38,Married,2,Mumbai,0,2025-01-04,0
BOR00055,51,55757.95,Salaried,29.8,High School,673,3,1008905.79,Business,12,0.16,Divorced,2,Ahmedabad,0,2025-06-16,0
BOR00056,47,18781.25,Self-Employed,28.8,Doctorate,677,3,1821583.54,Education,120,0.26,Divorced,0,Pune,0,2026-02-11,0
BOR00057,34,50519.52,Self-Employed,20.7,Post Graduate,900,0,356261.33,Vehicle,240,0.1,Single,3,Surat,0,2025-03-15,0
BOR00058,35,44525.6,Business Owner,24.1,Post Graduate,707,3,188800.53,Vehicle,60,0.6,Divorced,4,Bengaluru,0,2025-12-29,0
BOR00059,55,48177.34,Self-Employed,24.7,Graduate,574,2,1661930.76,Home,12,0.17,Married,4,Bengaluru,0,2026-04-07,0
BOR00060,50,86804.3,Business Owner,9.7,Doctorate,747,2,1025920.75,Personal,180,0.11,Single,3,Bengaluru,0,2025-04-02,0
BOR00061,35,72803.26,Salaried,29.9,Post Graduate,598,4,128451.76,Vehicle,180,0.41,Married,2,Mumbai,0,2025-05-09,0
BOR00062,52,98853.79,Salaried,14.9,Doctorate,553,2,846278.78,Education,24,0.65,Married,3,Bengaluru,0,2026-06-07,0
BOR00063,56,65737.75,Salaried,29.6,Doctorate,877,0,663308.46,Education,24,0.73,Married,4,Jaipur,1,2024-09-16,0
BOR00064,24,29873.64,Self-Employed,3.9,Post Graduate,629,4,1525064.15,Medical,180,0.58,Single,2,Pune,0,2026-06-13,0
BOR00065,65,51525.17,Government Employee,16.6,High School,634,0,1947636.29,Business,48,0.55,Married,4,Ahmedabad,0,2025-06-30,0
BOR00066,28,22576.58,Government Employee,14.5,High School,686,1,1021832.23,Medical,60,0.41,Married,3,Jaipur,0,2025-10-29,0
BOR00067,56,28820.67,Self-Employed,28.0,Doctorate,722,1,1847642.89,Business,36,0.65,Married,3,Delhi,1,2026-01-07,1
BOR00068,21,30954.94,Business Owner,10.4,Post Graduate,819,4,1180850.6,Medical,180,0.66,Married,4,Surat,1,2024-10-18,0
BOR00069,45,33135.93,Government Employee,22.3,Post Graduate,651,1,1962510.53,Vehicle,120,0.21,Married,0,Delhi,0,2025-04-23,0
BOR00070,63,73626.38,Self-Employed,27.3,Doctorate,569,0,296180.23,Business,84,0.66,Married,0,Pune,0,2025-12-16,0
BOR00071,47,54925.33,Self-Employed,9.9,High School,797,3,1573974.32,Education,84,0.49,Married,0,Jaipur,1,2025-05-17,0
BOR00072,41,21944.21,Government Employee,29.4,High School,696,4,183420.46,Medical,60,0.75,Divorced,0,Surat,0,2025-12-05,0
BOR00073,65,55823.01,Business Owner,15.9,High School,750,0,682530.6,Home,60,0.3,Married,1,Mumbai,1,2024-12-16,0
BOR00074,32,26410.7,Self-Employed,13.8,Graduate,561,0,1238508.98,Personal,48,0.4,Divorced,1,Mumbai,0,2024-12-29,0
BOR00075,63,63638.3,Salaried,19.2,Doctorate,706,2,1371341.23,Vehicle,24,0.36,Married,4,Delhi,0,2025-06-11,0
BOR00076,50,55561.54,Business Owner,29.8,Graduate,711,3,1714004.14,Home,48,0.32,Married,4,Delhi,0,2026-05-28,1
BOR00077,63,34891.12,Government Employee,27.1,Post Graduate,700,0,1153561.58,Medical,12,0.69,Divorced,3,Jaipur,0,2024-08-22,0
BOR00078,35,56757.11,Business Owner,23.7,Graduate,615,1,1260737.77,Medical,36,0.49,Divorced,0,Delhi,0,2024-08-01,0
BOR00079,29,124602.91,Salaried,15.1,Post Graduate,722,2,1507587.69,Vehicle,48,0.14,Divorced,2,Pune,0,2026-01-05,0
BOR00080,37,27020.42,Government Employee,24.1,Post Graduate,739,2,1618253.45,Personal,24,0.15,Single,3,Jaipur,0,2026-04-02,0
BOR00081,46,30111.4,Salaried,20.2,Post Graduate,750,4,290998.04,Education,60,0.46,Divorced,2,Ahmedabad,0,2025-07-15,1
BOR00082,56,87491.58,Business Owner,28.4,Graduate,606,0,1289037.65,Personal,60,0.5,Single,1,Ahmedabad,0,2025-11-17,0
BOR00083,28,79355.11,Salaried,17.6,Graduate,717,4,314544.89,Personal,84,0.52,Divorced,4,Surat,0,2026-05-24,0
BOR00084,62,73941.54,Salaried,28.5,Doctorate,850,4,845825.98,Education,12,0.53,Single,3,Surat,0,2026-02-23,1
