account_id,borrower_id,branch,disbursed_amount,emi_amount,account_status
LA00001,BOR05681,Mumbai HQ,422681.25,9862.56,NPA
LA00002,BOR07949,Pune East,1122623.54,26194.55,Active
LA00003,BOR05097,Pune East,121494.39,1133.95,NPA
LA00004,BOR05724,Mumbai HQ,1384739.14,18463.19,Active
LA00005,BOR02970,Surat Branch,1659474.2,10325.62,NPA
LA00006,BOR02811,Ahmedabad Main,1293558.62,40244.05,Active
LA00007,BOR03200,Ahmedabad Main,776134.03,18109.79,Active
LA00008,BOR07078,Pune East,397125.63,2471.0,Active
LA00009,BOR05634,Pune East,986954.11,13159.39,Active
LA00010,BOR00570,Delhi North,1550956.24,9650.39,Active
LA00011,BOR06734,Ahmedabad Main,53596.99,1250.6,Active
LA00012,BOR06697,Surat Branch,1270034.01,16933.79,Active
LA00013,BOR05973,Pune East,967728.02,22580.32,Closed
LA00014,BOR03806,Ahmedabad Main,1315169.46,17535.59,Active
LA00015,BOR09339,Ahmedabad Main,326525.22,30475.69,Active
LA00016,BOR07531,Pune East,1557519.59,9691.23,NPA
LA00017,BOR00703,Pune East,1331770.2,41432.85,Active
LA00018,BOR05826,Ahmedabad Main,1684714.78,31448.01,Active
LA00019,BOR01824,Delhi North,683937.41,21278.05,Active
LA00020,BOR00385,Mumbai HQ,1595300.12,14889.47,Active
LA00021,BOR02118,Pune East,325640.77,4341.88,Active
LA00022,BOR08372,Mumbai HQ,1657054.29,10310.56,Active
LA00023,BOR08511,Surat Branch,1861949.13,43445.48,Active
LA00024,BOR00194,Pune East,1642164.31,21895.52,Active
LA00025,BOR01087,Surat Branch,1971304.91,9199.42,Active
LA00026,BOR09654,Mumbai HQ,855216.76,19955.06,Active
LA00027,BOR02531,Mumbai HQ,598022.95,2790.77,Closed
LA00028,BOR04147,Surat Branch,317772.18,29658.74,Active
LA00029,BOR01066,Mumbai HQ,1124984.52,104998.56,Active
LA00030,BOR09640,Delhi North,156861.5,976.03,Active
LA00031,BOR06108,Pune East,230143.24,1074.0,Active
LA00032,BOR03248,Mumbai HQ,1274226.18,16989.68,Closed
LA00033,BOR07846,Pune East,727178.94,16967.51,Active
LA00034,BOR09454,Ahmedabad Main,1906900.48,59325.79,Active
LA00035,BOR07328,Delhi North,668028.64,20783.11,Active
LA00036,BOR09317,Surat Branch,616052.94,28749.14,NPA
LA00037,BOR01533,Surat Branch,891355.68,11884.74,Active
LA00038,BOR06698,Surat Branch,679473.72,31708.77,Active
LA00039,BOR03238,Pune East,898598.77,16773.84,Active
LA00040,BOR06823,Ahmedabad Main,136252.07,2543.37,Active
LA00041,BOR08730,Pune East,877094.36,11694.59,Active
LA00042,BOR06076,Delhi North,371984.89,2314.57,Active
LA00043,BOR08368,Ahmedabad Main,1504764.84,20063.53,Active
LA00044,BOR03836,Delhi North,348233.13,10833.92,Active
LA00045,BOR02861,Mumbai HQ,569371.79,26570.68,NPA
LA00046,BOR03176,Delhi North,296277.14,13826.27,Active
LA00047,BOR04106,Delhi North,1274422.76,39648.71,NPA
LA00048,BOR05548,Mumbai HQ,1983511.27,9256.39,Active
LA00049,BOR00110,Mumbai HQ,1461280.63,45462.06,Active
LA00050,BOR00638,Pune East,927445.27,86561.56,Active
LA00051,BOR00281,Mumbai HQ,1090876.08,14545.01,Active
LA00052,BOR05103,Mumbai HQ,1437473.24,13416.42,Closed
LA00053,BOR04913,Pune East,937235.0,5831.68,NPA
LA00054,BOR01140,Surat Branch,449540.84,41957.15,Closed
