repayment_id,account_id,borrower_id,month_number,emi_due,payment_status,days_late
RPY000001,LA06249,BOR08938,1,178218.3,Late,43
RPY000002,LA06249,BOR08938,2,178218.3,On-Time,0
RPY000003,LA06249,BOR08938,3,178218.3,On-Time,0
RPY000004,LA06249,BOR08938,4,178218.3,On-Time,0
RPY000005,LA06249,BOR08938,5,178218.3,On-Time,0
RPY000006,LA06249,BOR08938,6,178218.3,Late,27
RPY000007,LA06249,BOR08938,7,178218.3,On-Time,0
RPY000008,LA06249,BOR08938,8,178218.3,On-Time,0
RPY000009,LA05834,BOR06299,1,4981.27,On-Time,0
RPY000010,LA05834,BOR06299,2,4981.27,On-Time,0
RPY000011,LA05834,BOR06299,3,4981.27,On-Time,0
RPY000012,LA05834,BOR06299,4,4981.27,On-Time,0
RPY000013,LA05834,BOR06299,5,4981.27,On-Time,0
RPY000014,LA05834,BOR06299,6,4981.27,On-Time,0
RPY000015,LA05834,BOR06299,7,4981.27,On-Time,0
RPY000016,LA04038,BOR03252,1,5827.73,On-Time,0
RPY000017,LA04038,BOR03252,2,5827.73,On-Time,0
RPY000018,LA04038,BOR03252,3,5827.73,On-Time,0
RPY000019,LA04038,BOR03252,4,5827.73,On-Time,0
RPY000020,LA04038,BOR03252,5,5827.73,On-Time,0
RPY000021,LA04991,BOR01480,1,2255.91,On-Time,0
RPY000022,LA04991,BOR01480,2,2255.91,On-Time,0
RPY000023,LA04991,BOR01480,3,2255.91,On-Time,0
RPY000024,LA04991,BOR01480,4,2255.91,On-Time,0
RPY000025,LA04991,BOR01480,5,2255.91,On-Time,0
RPY000026,LA04991,BOR01480,6,2255.91,On-Time,0
RPY000027,LA02210,BOR00232,1,21948.62,Late,22
RPY000028,LA02210,BOR00232,2,21948.62,Late,48
RPY000029,LA02210,BOR00232,3,21948.62,On-Time,0
RPY000030,LA02210,BOR00232,4,21948.62,On-Time,0
RPY000031,LA02210,BOR00232,5,21948.62,On-Time,0
RPY000032,LA02210,BOR00232,6,21948.62,On-Time,0
RPY000033,LA02210,BOR00232,7,21948.62,On-Time,0
RPY000034,LA02210,BOR00232,8,21948.62,Late,43
RPY000035,LA02210,BOR00232,9,21948.62,On-Time,0
RPY000036,LA02210,BOR00232,10,21948.62,On-Time,0
RPY000037,LA02210,BOR00232,11,21948.62,On-Time,0
RPY000038,LA00496,BOR09281,1,6968.8,On-Time,0
RPY000039,LA00496,BOR09281,2,6968.8,On-Time,0
RPY000040,LA00496,BOR09281,3,6968.8,On-Time,0
RPY000041,LA00496,BOR09281,4,6968.8,On-Time,0
RPY000042,LA00496,BOR09281,5,6968.8,On-Time,0
RPY000043,LA00496,BOR09281,6,6968.8,On-Time,0
RPY000044,LA00496,BOR09281,7,6968.8,On-Time,0
RPY000045,LA06723,BOR03907,1,96162.9,On-Time,0
RPY000046,LA06723,BOR03907,2,96162.9,On-Time,0
RPY000047,LA06723,BOR03907,3,96162.9,Late,8
RPY000048,LA06723,BOR03907,4,96162.9,On-Time,0
RPY000049,LA01358,BOR09600,1,83822.2,On-Time,0
RPY000050,LA01358,BOR09600,2,83822.2,On-Time,0
RPY000051,LA01358,BOR09600,3,83822.2,On-Time,0
RPY000052,LA01358,BOR09600,4,83822.2,On-Time,0
RPY000053,LA01358,BOR09600,5,83822.2,On-Time,0
RPY000054,LA01358,BOR09600,6,83822.2,On-Time,0
RPY000055,LA01358,BOR09600,7,83822.2,On-Time,0
RPY000056,LA01358,BOR09600,8,83822.2,On-Time,0
RPY000057,LA01358,BOR09600,9,83822.2,On-Time,0
RPY000058,LA01358,BOR09600,10,83822.2,On-Time,0
RPY000059,LA01358,BOR09600,11,83822.2,On-Time,0
RPY000060,LA03552,BOR03467,1,78856.98,On-Time,0
RPY000061,LA03552,BOR03467,2,78856.98,On-Time,0
RPY000062,LA03552,BOR03467,3,78856.98,Late,53
RPY000063,LA03552,BOR03467,4,78856.98,On-Time,0
RPY000064,LA03552,BOR03467,5,78856.98,On-Time,0
RPY000065,LA03552,BOR03467,6,78856.98,On-Time,0
RPY000066,LA03552,BOR03467,7,78856.98,Late,47
RPY000067,LA03552,BOR03467,8,78856.98,On-Time,0
RPY000068,LA03552,BOR03467,9,78856.98,On-Time,0
RPY000069,LA03552,BOR03467,10,78856.98,On-Time,0
RPY000070,LA03552,BOR03467,11,78856.98,On-Time,0
RPY000071,LA03552,BOR03467,12,78856.98,Late,28
RPY000072,LA03596,BOR06412,1,29665.06,On-Time,0
RPY000073,LA03596,BOR06412,2,29665.06,On-Time,0
RPY000074,LA03596,BOR06412,3,29665.06,On-Time,0
RPY000075,LA03596,BOR06412,4,29665.06,On-Time,0
RPY000076,LA03596,BOR06412,5,29665.06,On-Time,0
RPY000077,LA03596,BOR06412,6,29665.06,On-Time,0
RPY000078,LA03596,BOR06412,7,29665.06,On-Time,0
RPY000079,LA03596,BOR06412,8,29665.06,On-Time,0
RPY000080,LA03596,BOR06412,9,29665.06,On-Time,0
